  N°,   Fecha,       (Lugar),         Partidos,      resultado,   Competición
1,13-05-1902,(Madrid)   ,Madrid FC - Barcelona,1-3,Copa del Rey (1/2)
2,13-05-1906,(Barcelona),Barcelona - Madrid FC,5-2,Partido amistoso
3,01-11-1913,(Barcelona),Barcelona - Madrid FC,7-0,Partido amistoso
4,02-11-1913,(Barcelona),Barcelona - Madrid FC,1-0,Partido amistoso
5,06-01-1914,(Madrid)   ,Madrid FC - Barcelona,2-2,Partido amistoso
6,10-01-1914,(Madrid)   ,Madrid FC - Barcelona,0-2,Partido amistoso
7,05-03-1916,(Barcelona),Barcelona - Madrid FC,3-0,Partido amistoso
8,26-03-1916,(Barcelona),Barcelona - Madrid FC,2-1,Copa del Rey (1/2)
9,02-04-1916,(Madrid)   ,Madrid FC - Barcelona,4-1,Copa del Rey (1/2)
10,13-04-1916,(Madrid)   ,Madrid FC - Barcelona,6-6,Copa del Rey (1/2)
11,15-04-1916,(Madrid)   ,Madrid FC - Barcelona,4-2,Copa del Rey (1/2)
12,07-03-1916,(Barcelona),Barcelona - Madrid FC,0-0,Partido amistoso
13,01-11-1917,(Barcelona),Barcelona - Madrid FC,3-1,Partido amistoso
14,04-11-1917,(Barcelona),Barcelona - Madrid FC,4-1,Partido amistoso
15,20-02-1918,(Madrid)   ,Madrid FC - Barcelona,1-2,Partido amistoso
16,15-02-1920,(Barcelona),Barcelona - Madrid FC,2-2,Partido amistoso
17,18-02-1920,(Barcelona),Barcelona - Madrid FC,7-1,Partido amistoso
18,11-01-1921,(Barcelona),Barcelona - R. Madrid,3-0,Partido amistoso
19,15-03-1922,(Madrid)   ,R. Madrid - Barcelona,2-2,Partido amistoso
20,18-04-1926,(Madrid)   ,R. Madrid - Barcelona,1-5,Copa del Rey (1/4)
21,25-04-1926,(Barcelona),Barcelona - R. Madrid,3-0,Copa del Rey (1/4)
22,02-02-1927,(Barcelona),Barcelona - R. Madrid,0-0,Partido amistoso
23,19-03-1927,(Madrid)   ,R. Madrid - Barcelona,1-5, Partido amistoso
24,20-03-1927,(Madrid)   ,R. Madrid - Barcelona,1-4,Partido amistoso
25,27-05-1928,(Barcelona),Barcelona - R. Madrid,2-2,Torneo Campeones
26,03-06-1928,(Madrid)   ,R. Madrid - Barcelona,1-1,Torneo Campeones
27,17-02-1929,(Barcelona),Barcelona - R. Madrid,1-2,Cto. de Liga (2ª)
28,09-05-1929,(Madrid)   ,R. Madrid - Barcelona,0-1,Cto. de Liga(11ª)
29,26-01-1930,(Barcelona),Barcelona - R. Madrid,1-4,Cto. de Liga(9ª)
30,30-03-1930,(Madrid)   ,R. Madrid - Barcelona,5-1,Cto. de Liga(18ª)
31,01-02-1931,(Madrid)   ,R. Madrid - Barcelona,0-0,Cto. de Liga(9ª)
32,05-04-1931,(Barcelona),Barcelona - R. Madrid,3-1,Cto. de Liga(18ª)
33,31-01-1932,(Madrid)   ,R. Madrid - Barcelona,2-0,Cto. de Liga(9ª)
34,03-04-1932,(Barcelona),Barcelona - R. Madrid,2-2,Cto. de Liga(18ª)
35,03-07-1932,(Barcelona),Barcelona - R. Madrid,2-2,Partido amistoso
36,01-01-1933,(Barcelona),Barcelona - R. Madrid,1-1,Cto. de Liga(6ª)
37,05-03-1933,(Madrid)   ,R. Madrid - Barcelona,2-1,Cto. de Liga(15ª)
38,26-11-1933,(Barcelona),Barcelona - R. Madrid,1-2,Cto. de Liga(4ª)
39,28-01-1934,(Madrid)   ,R. Madrid - Barcelona,4-0,Cto. de Liga(13ª)
40,25-11-1934,(Madrid)   ,R. Madrid - Barcelona,5-1,Partido amistoso
41,03-02-1935,(Madrid)   ,R. Madrid - Barcelona,8-2,Cto. de Liga(10ª)
42,21-04-1935,(Barcelona),Barcelona - R. Madrid,5-0,Cto. de Liga(21ª)
43,22-12-1935,(Barcelona),Barcelona - R. Madrid,0-3,Cto. de Liga(7ª)
44,22-03-1936,(Madrid)   ,R. Madrid - Barcelona,3-0,Cto. de Liga(18ª)
45,21-06-1936,(Valencia) ,R. Madrid - Barcelona,2-1,Copa Presidente (F)
46,28-01-1940,(Madrid)   ,R. Madrid - Barcelona,2-1,Cto. de Liga(9ª)
47,14-04-1940,(Barcelona),Barcelona - R. Madrid,0-0,Cto. de Liga(20ª)
48,15-09-1940,(Barcelona),Barcelona - R. Madrid,5-4,Partido amistoso
49,01-12-1940,(Barcelona),Barcelona - R. Madrid,3-0,Cto. de Liga(10ª)
50,23-02-1941,(Madrid)   ,R. Madrid - Barcelona,1-2,Cto. de Liga(21ª)
51,08-06-1941,(Madrid)   ,R. Madrid - Barcelona,2-3,Partido amistoso
52,19-10-1941,(Madrid)   ,R. Madrid - Barcelona,4-3,Cto. de Liga(4ª)
53,25-01-1942,(Barcelona),Barcelona - R. Madrid,0-2,Cto. de Liga(17ª)
54,27-09-1942,(Madrid)   ,R. Madrid - Barcelona,3-0,Cto. de Liga(1ª)
55,10-01-1943,(Barcelona),Barcelona - R. Madrid,5-5,Cto. de Liga(14ª)
56,06-06-1943,(Barcelona),Barcelona - R. Madrid,3-0,C.Generalisimo(1/2)
57,13-06-1943,(Madrid)   ,R. Madrid - Barcelona,11-1,C.Generalisimo(1/2)
58,31-10-1943,(Madrid)   ,R. Madrid - Barcelona,1-1,homenaje a Monjardín
59,26-12-1943,(Barcelona),Barcelona - R. Madrid,4-0,homenaje a Franco
60,02-01-1944,(Madrid)   ,R. Madrid - Barcelona,0-1,Cto. de Liga(13ª)
61,09-04-1944,(Barcelona),Barcelona - R. Madrid,1-2,Cto. de Liga(26ª)
62,12-11-1944,(Madrid)   ,R. Madrid - Barcelona,1-0,Cto. de Liga(8ª)
63,25-03-1945,(Barcelona),Barcelona - R. Madrid,5-0,Cto. de Liga(21ª)
64,25-11-1945,(Madrid)   ,R. Madrid - Barcelona,3-2,Cto. de Liga(9ª)
65,03-03-1946,(Barcelona),Barcelona - R. Madrid,1-0,Cto. de Liga(22ª)
66,01-12-1946,(Madrid)   ,R. Madrid - Barcelona,2-1,Cto. de Liga(11ª)
67,30-03-1947,(Barcelona),Barcelona - R. Madrid,3-2,Cto. de Liga(24ª)
68,12-10-1947,(Madrid)   ,R. Madrid - Barcelona,1-1,Cto. de Liga(4ª)
69,25-01-1948,(Barcelona),Barcelona - R. Madrid,4-2,Cto. de Liga(17ª)
70,23-05-1948,(Barcelona),Barcelona - R. Madrid,1-0,Torneo Históricos
71,30-05-1948,(Madrid)   ,R. Madrid - Barcelona,0-1,Torneo Históricos 
72,19-09-1948,(Madrid)   ,R. Madrid - Barcelona,1-2,Cto. de Liga(2ª)
73,09-01-1949,(Barcelona),Barcelona - R. Madrid,3-1,Cto. de Liga(15ª)
74,18-09-1949,(Madrid)   ,R. Madrid - Barcelona,6-1,Cto. de Liga(3ª)
75,15-01-1950,(Barcelona),Barcelona - R. Madrid,2-3,Cto. de Liga(16ª)
76,24-09-1950,(Barcelona),Barcelona - R. Madrid,7-2,Cto. de Liga(3ª)
77,14-01-1951,(Madrid)   ,R. Madrid - Barcelona,4-1,Cto. de Liga(18ª)
78,11-11-1951,(Madrid)   ,R. Madrid - Barcelona,5-1,Cto. de Liga(10ª)
79,02-03-1952,(Barcelona),Barcelona - R. Madrid,4-2,Cto. de Liga(25ª)
80,23-11-1952,(Madrid)   ,R. Madrid - Barcelona,2-1,Cto. de Liga(11ª)
81,05-04-1953,(Barcelona),Barcelona - R. Madrid,1-0,Cto. de Liga(26ª)
82,25-10-1953,(Madrid)   ,R. Madrid - Barcelona,5-0,Cto. de Liga(7ª)
83,21-02-1954,(Barcelona),Barcelona - R. Madrid,5-1,Cto. de Liga(22ª)
84,06-06-1954,(Madrid)   ,R. Madrid - Barcelona,1-0,C.Generalisimo(1/2)
85,13-06-1954,(Barcelona),Barcelona - R. Madrid,3-1,C.Generalisimo(1/2)
86,21-11-1954,(Madrid)   ,R. Madrid - Barcelona,3-0,Cto. de Liga(11ª)
87,06-03-1955,(Barcelona),Barcelona - R. Madrid,2-2,Cto. de Liga(26ª)
88,13-11-1955,(Madrid)   ,R. Madrid - Barcelona,2-1,Cto. de Liga(10ª)
89,18-03-1956,(Barcelona),Barcelona - R. Madrid,2-0,Cto. de Liga(25ª)
90,11-11-1956,(Barcelona),Barcelona - R. Madrid,1-0,Cto. de Liga(10ª)
91,03-03-1957,(Madrid)   ,R. Madrid - Barcelona,1-0,Cto. de Liga(25ª)
92,12-05-1957,(Madrid)   ,R. Madrid - Barcelona,2-2,C.Generalisimo(1/4)
93,19-05-1957,(Barcelona),Barcelona - R. Madrid,6-1,C.Generalisimo(1/4)
94,13-10-1957,(Madrid)   ,R. Madrid - Barcelona,3-0,Cto. de Liga(5ª)
95,02-02-1958,(Barcelona),Barcelona - R. Madrid,0-2,Cto. de Liga(20ª)
96,26-10-1958,(Barcelona),Barcelona - R. Madrid,4-0,Cto. de Liga(7ª)
97,15-02-1959,(Madrid)   ,R. Madrid - Barcelona,0-0,Cto. de Liga(22ª)
98,07-06-1959,(Madrid)   ,R. Madrid - Barcelona,2-4,C.Generalisimo(1/2)
99,14-06-1959,(Barcelona),Barcelona - R. Madrid,3-1,C.Generalisimo(1/2)
100,30-08-1959,(Cádiz)    ,R. Madrid - Barcelona,4-3,Trofeo Carranza(F)
101,29-11-1959,(Madrid)   ,R. Madrid - Barcelona,2-0,Cto. de Liga(11ª)
102,20-03-1960,(Barcelona),Barcelona - R. Madrid,3-1,Cto. de Liga(26ª)
103,21-04-1960,(Madrid)   ,R. Madrid - Barcelona,3-1,Copa Europa (1/2)
104,27-04-1960,(Barcelona),Barcelona - R. Madrid,1-3,Copa Europa (1/2)
105,09-11-1960,(Barcelona),R. Madrid - Barcelona,2-2,Copa Europa (1/8)
106,23-11-1960,(Madrid)   ,Barcelona - R. Madrid,2-1,Copa Europa (1/8)
107,04-12-1960,(Barcelona),Barcelona - R. Madrid,3-5,Cto. de Liga(12ª)
108,26-03-1961,(Madrid)   ,R. Madrid - Barcelona,3-2,Cto. de Liga(27ª)
109,30-09-1961,(Madrid)   ,R. Madrid - Barcelona,2-0,Cto. de Liga(5ª)
110,21-01-1962,(Barcelona),Barcelona - R. Madrid,3-1,Cto. de Liga(20ª)
111,15-04-1962,(Madrid)   ,R. Madrid - Barcelona,0-1,C. Generalisimo(1/4)
112,22-04-1962,(Barcelona),Barcelona - R. Madrid,1-3,C. Generalisimo(1/4)
113,30-09-1962,(Madrid)   ,R. Madrid - Barcelona,2-0,Cto. de Liga(3ª)
114,27-01-1963,(Barcelona),Barcelona - R. Madrid,1-5,Cto. de Liga(18ª)
115,15-12-1963,(Madrid)   ,R. Madrid - Barcelona,4-0,Cto. de Liga(12ª)
116,30-03-1964,(Barcelona),Barcelona - R. Madrid,1-2,Cto. de Liga(27ª)
117,08-11-1964,(Madrid)   ,R. Madrid - Barcelona,4-1,Cto. de Liga(9ª)
118,28-02-1965,(Barcelona),Barcelona - R. Madrid,1-2,Cto. de Liga(24ª)
119,19-12-1965,(Madrid)   ,R. Madrid - Barcelona,1-3,Cto. de Liga(14ª)
120,27-03-1966,(Barcelona),Barcelona - R. Madrid,2-1,Cto. de Liga(29ª)
121,20-11-1966,(Madrid)   ,R. Madrid - Barcelona,1-0,Cto. de Liga(10ª)
122,19-03-1967,(Barcelona),Barcelona - R. Madrid,2-1,Cto. de Liga(25ª)
123,10-12-1967,(Madrid)   ,R. Madrid - Barcelona,1-1,Cto. de Liga(12ª)
124,09-04-1968,(Barcelona),Barcelona - R. Madrid,1-1,Cto. de Liga(27ª)
125,11-07-1968,(Madrid)   ,R. Madrid - Barcelona,0-1,C.Generalisimo (F)
126,31-08-1968,(Cádiz).   ,Barcelona - R. Madrid,2-1,Trofeo Carranza(1/2)
127,16-11-1968,(Madrid)   ,R. Madrid - Barcelona,2-1,Cto. de Liga(9ª)
128,09-03-1969,(Barcelona),Barcelona - R. Madrid,1-1,Cto. de Liga(24ª)
129,14-09-1969,(Madrid)   ,R. Madrid - Barcelona,3-3,Cto. de Liga(1ª)
130,28-12-1969,(Barcelona),Barcelona - R. Madrid,1-0,Cto. de Liga(16ª)
131,30-05-1970,(Madrid)   ,R. Madrid - Barcelona,2-0,C.Generalisimo(1/4)
132,06-06-1970,(Barcelona),Barcelona - R. Madrid,1-1,C.Generalisimo (1/4)
133,25-10-1970,(Madrid)   ,R. Madrid - Barcelona,0-1,Cto. de Liga(7ª)
134,14-02-1971,(Barcelona),Barcelona - R. Madrid,0-1,Cto. de Liga(22ª)
135,28-11-1971,(Madrid)   ,R. Madrid - Barcelona,1-1,Cto. de Liga(11ª)
136,03-04-1972,(Barcelona),Barcelona - R. Madrid,1-0,Cto. de Liga(28ª)
137,01-10-1972,(Barcelona),Barcelona - R. Madrid,1-0,Cto. de Liga(5ª)
138,25-02-1973,(Madrid)   ,R. Madrid - Barcelona,0-0,Cto. de Liga(22ª)
139,07-10-1973,(Barcelona),Barcelona - R. Madrid,0-0,Cto. de Liga(6ª)
140,17-02-1974,(Madrid)   ,R. Madrid - Barcelona,0-5,Cto. de Liga(23ª)
141,29-06-1974,(Madrid)   ,R. Madrid - Barcelona,4-0,C.Generalisimo (F)
142,05-01-1975,(Madrid)   ,R. Madrid - Barcelona,1-0,Cto. de Liga(15ª)
143,11-05-1975,(Barcelona),Barcelona - R. Madrid,0-0,Cto. de Liga(32ª)
144,28-12-1975,(Barcelona),Barcelona - R. Madrid,2-1,Cto. de Liga(15ª)
145,30-04-1976,(Madrid)   ,R. Madrid - Barcelona,0-2,Cto. de Liga32ª)
146,19-09-1976,(Barcelona),Barcelona - R. Madrid,3-1,Cto. de Liga(3ª)
147,30-01-1977,(Madrid)   ,R. Madrid - Barcelona,1-1,Cto. de Liga(20ª)
148,04-12-1977,(Barcelona),Barcelona - R. Madrid,2-3,Cto. de Liga(12ª)
149,05-04-1978,(Madrid)   ,R. Madrid - Barcelona,4-0,Cto. de Liga(29ª)
150,23-09-1978,(Madrid)   ,R. Madrid - Barcelona,3-1,Cto. de Liga(4ª)
151,17-02-1979,(Barcelona),Barcelona - R. Madrid,2-0,Cto. de Liga(21ª)
152,23-09-1979,(Madrid)   ,R. Madrid - Barcelona,3-2,Cto. de Liga(3ª)
153,10-02-1980,(Barcelona),Barcelona - R. Madrid,0-2,Cto. de Liga(20ª)
154,30-11-1980,(Barcelona),Barcelona - R. Madrid,2-1,Cto. de Liga(13ª)
155,29-03-1981,(Madrid)   ,R. Madrid - Barcelona,3-0,Cto. de Liga(30ª)
156,20-12-1981,(Barcelona),Barcelona - R. Madrid,3-1,Cto. de Liga(16ª)
157,18-04-1982,(Madrid)   ,R. Madrid - Barcelona,3-2,Cto. de Liga(33ª)
158,30-05-1982,(Caracas)  ,R. Madrid - Barcelona,1-0,Partido amistoso
159,27-11-1982,(Madrid)   ,R. Madrid - Barcelona,0-2,Cto. de Lida(13ª) 
160,26-03-1983,(Barcelona),Barcelona - R. Madrid,2-1,Cto. de Liga(30ª)
161,04-06-1983,(Zaragoza) ,Barcelona - R. Madrid,2-1,Final Copa del Rey
162,26-06-1983,(Madrid)   ,R. Madrid - Barcelona,2-2,Copa de la Liga (F)
163,29-06-1983,(Barcelona),Barcelona - R. Madrid,2-1,Copa de la Liga (F)
164,22-10-1983,(Madrid)   ,Barcelona - R. Madrid,1-2,Cto. de Liga(8ª)
165,03-03-1984,(Madrid)   ,R. Madrid - Barcelona,2-1,Cto. de Liga(25ª)
166,02-09-1984,(Madrid)   ,R. Madrid - Barcelona,0-3,Cto. de Liga(1ª)
167,30-12-1984,(Barcelona),Barcelona - R. Madrid,3-2,Cto. de Liga(18ª)
168,11-05-1985,(Barcelona),Barcelona - R. Madrid,2-2,Copa de la Liga(1/4)
169,18-05-1985,(Madrid)   ,R. Madrid - Barcelona,1-1,Copa de la Liga(1/4)
170,09-11-1985,(Barcelona),Barcelona - R. Madrid,1-0,Cto. de Liga(11ª)
171,08-03-1986,(Madrid)   ,R. Madrid - Barcelona,3-1,Cto. de Liga(28ª)
172,11-05-1986,(Barcelona),Barcelona - R. Madrid,2-2,Copa de la Liga(1/4)
173,18-05-1986,(Madrid)   ,R. Madrid - Barcelona,0-4,Copa de la Liga(1/4)
174,08-10-1986,(Madrid)   ,R. Madrid - Barcelona,1-1,Cto. de Liga(8ª)
175,31-01-1987,(Barcelona),Barcelona - R. Madrid,3-2,Cto. de Liga(25ª)
176,12-04-1987,(Madrid)   ,R. Madrid - Barcelona,0-0,Cto. de Liga(35ª)
177,23-05-1987,(Barcelona),Barcelona - R. Madrid,2-1,Cto. de Liga(40ª)
178,02-01-1988,(Madrid)   ,R. Madrid - Barcelona,2-1,Cto. de Liga(16ª)
179,30-04-1988,(Barcelona),Barcelona - R. Madrid,2-0,Cto. de Liga(35ª)
180,22-10-1988,(Madrid)   ,R. Madrid - Barcelona,3-2,Cto. de Liga(8ª)
181,01-04-1989,(Barcelona),Barcelona - R. Madrid,0-0,Cto. de Liga(27ª)
182,21-09-1989,(Madrid)   ,R. Madrid - Barcelona,2-0,Super C. de España
183,29-09-1989,(Barcelona),Barcelona - R. Madrid,2-1,Super C. de España 
184,07-10-1989,(Barcelona),Barcelona - R. Madrid,3-1,Cto. de Liga(6ª)
185,15-02-1990,(Madrid)   ,R. Madrid - Barcelona,3-2,Cto. de Liga(25ª)
186,05-04-1990,(Valencia) ,Barcelona - R. Madrid,2-0,Copa del Rey  (F)
187,05-12-1990,(Barcelona),Barcelona - R. Madrid,0-1,Supercopa de España 
188,12-12-1990,(Madrid)   ,R. Madrid - Barcelona,4-1,Supercopa de España
189,19-01-1991,(Barcelona),Barcelona - R. Madrid,2-1,Cto. de Liga(19ª)
190,01-05-1991,(Madrid)   ,R. Madrid - Barcelona,3-1,Trof.Desafío Canal+'
191,08-06-1991,(Madrid)   ,R. Madrid - Barcelona,1-0,Cto. de Liga(38ª)
192,11-09-1991,(Barcelona),Barcelona - R. Madrid,1-1,Trof.Desafío Canal+'
193,19-10-1991,(Madrid)   ,R. Madrid - Barcelona,1-1,Cto. de Liga(6ª)
194,07-03-1992,(Barcelona),Barcelona - R. Madrid,1-1,Cto. de Liga(25ª)
195,05-09-1992,(Barcelona),Barcelona - R. Madrid,2-1,Cto. de Liga(1ª)
196,30-01-1993,(Madrid)   ,R. Madrid - Barcelona,2-1,Cto. de Liga(20ª)
197,09-06-1993,(Madrid)   ,R. Madrid - Barcelona,1-1,Copa del Rey(1/2)
198,16-06-1993,(Barcelona),Barcelona - R. Madrid,1-2,Copa del Rey(1/2)
199,02-12-1993,(Madrid)   ,R. Madrid - Barcelona,3-1,Supercopa de España
200,16-12-1993,(Barcelona),Barcelona - R. Madrid,1-1,Supercopa de España
201,08-01-1994,(Barcelona),Barcelona - R. Madrid,5-0,Cto. de Liga(18ª)
202,07-05-1994,(Madrid)   ,R. Madrid - Barcelona,0-1,Cto. de Liga(37ª)
203,07-01-1995,(Madrid)   ,R. Madrid - Barcelona,5-0,Cto. de Liga(16ª)
204,25-05-1995,(Barcelona),Barcelona - R. Madrid,1-0,Cto. de Liga(35ª)
205,30-09-1995,(Madrid)   ,R. Madrid - Barcelona,1-1,Cto. de Liga(5ª)
206,10-02-1996,(Barcelona),Barcelona - R. Madrid,3-0,Cto. de Liga(26ª)
207,07-12-1996,(Madrid)   ,R. Madrid - Barcelona,2-0,Cto. de Liga(16ª)
208,30-01-1997,(Barcelona),Barcelona - R. Madrid,3-2,Copa del Rey(1/8)
209,06-02-1997,(Madrid)   ,R. Madrid - Barcelona,1-1,Copa del Rey(1/8)
210,10-05-1997,(Barcelona),Barcelona - R. Madrid,1-0,Cto. de Liga(37ª)
211,20-08-1997,(Barcelona),Barcelona - R. Madrid,2-1,Supercopa de España 
212,23-08-1997,(Madrid)   ,R. Madrid - Barcelona,4-1,Supercopa de España 
213,01-11-1997,(Madrid)   ,R. Madrid - Barcelona,2-3,Cto. de Liga(9ª)
214,07-03-1998,(Barcelona),Barcelona - R. Madrid,3-0,Cto. de Liga(28ª)
215,19-09-1998,(Madrid)   ,R. Madrid - Barcelona,2-2,Cto. de Liga(3ª)
216,14-02-1999,(Barcelona),Barcelona - R. Madrid,3-0,Cto. de Liga(22ª)
217,26-10-1999,(Barcelona),Barcelona - R. Madrid,2-2,Cto. de Liga(7ª)
218,27-02-2000,(Madrid).  ,R. Madrid - Barcelona,3-0,Cto. de Liga(26ª)
219,21-10-2000,(Barcelona),Barcelona - R. Madrid,2-0,Cto. de Liga 
220,03-03-2001,(Madrid)   ,R. Madrid - Barcelona,2-2,Cto. de Liga(25ª) 
221,04-11-2001,(Madrid)   ,R. Madrid - Barcelona,2-0,Cto. de Liga(11ª)
222,16-03-2002,(Barcelona),Barcelona - R. Madrid,1-1,Cto. de Liga(30ª)
223,23-04-2002,(Barcelona),Barcelona - R. Madrid,0-2,Champion-ida-semif.
224,01-05-2002,(Madrid)   ,R. Madrid - Barcelona,1-1,Champion-vuelta-semif.
225,24-11-2002,(Barcelona),Barcelona - R. Madrid,0-0,Cto. de Liga-1ªv.
226,20-04-2003,(Madrid)   ,R. Madrid - Barcelona,1-1,Cto. de Liga-2ªv.
227,07-12-2003,(Barcelona),Barcelona - R. Madrid,1-2,Cto. de Liga-1ªv.
228,25-04-2004,(Madrid)   ,R. Madrid - Barcelona,1-2,Cto. de Liga-2ªv.
229,21-11-2004,(Barcelona),Barcelona - R. Madrid,3-0,Cto. de Liga-1ªv.
230,10-04-2005,(Madrid)   ,R. Madrid - Barcelona,4-2,Cto. de Liga-2ªv.
231,19-11-2005,(Madrid)   ,R. Madrid - Barcelona,0-3,Cto. de Liga-1ªv.
232,01-04-2006,(Barcelona),Barcelona - R. Madrid,1-1,Cto. de Liga-2ªv. 
233,22-10-2006,(Madrid)   ,R. Madrid - Barcelona,2-0,Cto. de Liga-1ªv.
234,11-03-2007,(Barcelona),Barcelona - R. Madrid,3-3,Cto. de Liga-2ªv.
235,23-12-2007,(Barcelona),Barcelona - R. Madrid,0-1,Cto. de Liga-1ªv.
236,07-05-2008,(Madrid)   ,R. Madrid - Barcelona,4-1,Cto. de Liga-2ªv.
237,13-12-2008,(Barcelona),Barcelona - R. Madrid,2-0,Cto. de Liga-1ªv.
238,02-05-2009,(Madrid)   ,R. Madrid - Barcelona,2-6,Cto. de Liga-2ªv.
239,29-11-2009,(Barcelona),Barcelona - R. Madrid,1-0,Cto. de Liga-1ªv.
240,10-04-2010,(Madrid)   ,R. Madrid - Barcelona,0-2,Cto. de Liga-2ªv
241,29-11-2010,(Barcelona),Barcelona - R. Madrid,5-0,Cto. de Liga-1ªv.
242,16-04-2011,(Madrid)   ,R.Madrid  - Barcelona,1-1,Cto. de Liga-2ªv. 
243,20-04-2011,(Valencia) ,R.Madrid  - Barcelona,1-0,Final Copa del Rey
244,27-04-2011,(Madrid)   ,R. Madrid - Barcelona,0-2,Semifi.Champio.ida
245,03-05-2011,(Barcelona),Barcelona - R. Madrid,1-1,Semifi.Champio.Vue.
246,14-08-2011,(Madrid)   ,R. Madrid - Barcelona,2-2,S.Copa España.ida
247,17-08-2011,(Barcelona),Barcelona - R. Madrid,3-2, S.Copa España.Vue.
248,10-12-2011,(Madrid)   ,R. Madrid - Barcelona,1-3,Cto. de Liga(1ªv.
249,18-01-2012,(Madrid)   ,R. Madrid - Barcelona,1-2,Copa Rey 4ºf.ida
250,25-01-2012,(Barcelona),Barcelona - R. Madrid,2-2,Copa Rey 4ºf.Vue.
251,21-04-2012,(Barcelona),Barcelona - R. Madrid,1-2,Cto. de Liga 2ªv.
252,23-08-2012,(Barcelona),Barcelona - R.Madrid ,3-2,S.Copa España Ida
253,23-08-2012,(Madrid)   ,R.Madrid  - Barcelona,2-1,S.Copa España Vu.
254,07-10-2012,(Barcelona),Barcelona - R.Madrid ,2-2,Cto. de Liga-1ªV.
255,30-01-2013,(Madrid)   ,R.Madrid  - Barcelona,1-1,Copa Rey Semi.ida
256,26-02-2013,(Barcelona),Barcelona - R. Madrid,1-3,Copa Rey Semi.Vue.
257,02-03-2013,(Madrid)   ,R.Madrid  - Barcelona,2-1,Cto. de Liga-2ªv.
258,26-10-2013,(Barcelona),Barcelona - R. Madrid,2-1,Cto. de Liga-1ªv.
259,23-03-2014,(Madrid)   ,R.Madrid  - Barcelona,3-4,Cto. de Liga-2!v.
260,16-04-2014,(Valencia ),Barcelona - R. Madrid,1-2,Final Copa del Rey
