sectfund,unit,geo\time	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 
ABR,PC_TOT,AT	20 e	19.4 	18 e	18.4 	17.9 	16.4 e	16.8 	16.1 e	16.9 	15.7 e	16.6 	15.2 ep
ABR,PC_TOT,BA	: 	: 	: 	: 	: 	: 	: 	: 	: 	48.7 	53.9 	: 
ABR,PC_TOT,BE	12.9 	12.3 	12.4 	13.3 	13 	12.3 	12.1 	13.3 	13 	13 	13.2 	: 
ABR,PC_TOT,BG	5.8 	5.5 	7.6 	6.5 	7.6 	6.8 	8.4 	39.6 	43.9 	46.3 	48.3 	: 
ABR,PC_TOT,CH	: 	5.2 	: 	: 	: 	6 	: 	: 	: 	12.1 	: 	: 
ABR,PC_TOT,CN_X_HK	1.9 	1.3 	0.9 	1.6 	1.3 	1.2 	1.3 b	1.3 	1.3 	1 	0.9 	: 
ABR,PC_TOT,CY	13.9 	11.5 	10.9 	12.1 	14.5 	14.7 	12.1 	15 	14.1 	17.5 	19.6 	: 
ABR,PC_TOT,CZ	4.6 	3.7 	5.4 	4.8 	7.3 	8.9 	11.3 	13.9 	19.7 	25.9 	27.2 	30.5 p
ABR,PC_TOT,DE	2.3 	2.5 	3.7 	3.8 	4 	4 	3.8 	3.9 	4.2 	4.3 	5.2 	: 
ABR,PC_TOT,DK	10.3 	: 	10.1 	: 	9.5 b	: 	8.6 	7.2 	7.1 	7.2 	7.4 	7.4 ep
ABR,PC_TOT,EA19	6.3 e	6.6 e	7 	7 e	7.4 e	7.2 e	7 	7.3 e	7.5 	7.8 	8.4 	: 
ABR,PC_TOT,EE	15.2 	17 	17.1 	16.3 	11.7 	9.4 	11.3 	11.4 	11.9 	10 	10.3 	12.5 
ABR,PC_TOT,EL	21.6 	: 	19 	: 	: 	5.7 be	8.7 e	11.9 e	14.8 	15.8 	14 	13.2 
ABR,PC_TOT,ES	5.7 	6.2 	5.7 	5.9 	7 	5.7 	5.5 	5.7 	6.7 	6.6 	7.4 	7.4 
ABR,PC_TOT,EU28	8.6 e	8.4 e	9.1 	8.8 e	9.2 e	8.8 e	8.4 	8.9 e	9.2 	9.7 e	9.9 	: 
ABR,PC_TOT,FI	3.1 	3.2 	6.3 b	7.1 	6.5 	6.6 	6.6 	6.9 	6.5 	8.8 	11.5 	17.3 
ABR,PC_TOT,FR	8.4 	8.8 b	7.5 	7 	7.5 	8 	7 	7.5 b	7.7 	7.6 	8 	: 
ABR,PC_TOT,HR	2.2 	2.6 	2.6 	6.8 	10.9 	7.9 	7 	9.9 	11.6 	14.4 	15.5 	12.8 
ABR,PC_TOT,HU	10.7 d	10.4 d	10.7 d	11.3 	11.1 	9.3 	10.9 	12.4 	13.5 	15.4 	16.6 	17.5 
ABR,PC_TOT,IE	8.3 	8.6 	8.6 	12.9 	15.8 	15.6 	16.5 e	17 e	20.3 e	21 e	19.3 e	19.3 e
ABR,PC_TOT,IS	14.5 	: 	11.2 	10.6 	10 	10 	11.4 	: 	8.2 b	: 	20.1 b	: 
ABR,PC_TOT,IT	: 	: 	8 	8.3 	9.5 	7.9 	9.4 	9.8 	9.1 	9.5 	9.7 	: 
ABR,PC_TOT,JP	0.3 	0.3 	0.3 	0.4 	0.3 	0.4 b	0.4 	0.4 	0.5 	0.4 	0.5 	: 
ABR,PC_TOT,KR	0.4 d	0.5 d	0.7 d	0.3 d	0.2 b	0.3 	0.2 	0.2 	0.2 	0.3 	0.3 	: 
ABR,PC_TOT,LT	13.8 	10.7 	10.5 	14.3 	19.6 	15.5 	13 	19.9 	28.4 	33.2 	37.1 	34.3 p
ABR,PC_TOT,LU	8.3 	: 	3.6 	: 	5.7 	: 	5.4 	20.6 	19.5 	34.4 	32.3 	: 
ABR,PC_TOT,LV	20.4 	22.5 	18.5 	7.5 	12.7 	23.1 	15.4 	33.4 	51 	50.4 	51.6 	44.2 p
ABR,PC_TOT,ME	: 	: 	: 	: 	: 	: 	: 	: 	19.7 	: 	22.5 	20.7 
ABR,PC_TOT,MT	: 	: 	26.9 	27.5 	22.4 	16 	18.4 	11.7 	17.8 	21 	21.4 	21.5 p
ABR,PC_TOT,NL	10.4 	: 	12 	: 	10.7 	: 	10.8 	: 	11.3 b	12.5 	12.2 	12.5 p
ABR,PC_TOT,NO	7.4 	: 	8.1 	: 	8.5 	: 	8.2 	: 	7.8 	: 	9.5 	: 
ABR,PC_TOT,PL	4.6 	5.2 	5.7 	7 	6.7 	5.4 	5.5 	11.8 	13.4 	13.3 	13.1 	13.4 
ABR,PC_TOT,PT	5 	4.8 e	4.7 	5.2 e	5.4 	3 b	4.1 	3.2 	6 	5.2 	6.1 	: 
ABR,PC_TOT,RO	5.5 	5.5 	5.3 	4.1 	4.5 	4 	8.3 	11.1 	12.1 b	14.4 	15.5 	17 
ABR,PC_TOT,RS	: 	: 	: 	: 	: 	: 	7.2 	3.6 	5.5 	9.2 	7.8 	12.5 
ABR,PC_TOT,RU	9 	7.6 	7.6 	9.4 	7.2 	5.9 	6.5 	3.5 	4.3 	4 	3 	2.5 
ABR,PC_TOT,SE	7.3 e	: 	8.1 b	: 	9.6 	: 	10.3 	: 	11 	: 	6.7 e	: 
ABR,PC_TOT,SI	9.9 	11.1 	7.3 	5.8 	5.8 	5.6 b	6 	6 	7 b	8.6 	8.9 	9.3 
ABR,PC_TOT,SK	3.3 	4.3 	6 	9.1 	10.2 	12.3 	12.8 	14.7 	14.2 	18.7 	18 	23.7 
ABR,PC_TOT,TR	1.6 	0.4 	0.8 	0.5 	0.5 	1.3 	1.1 	0.8 	0.7 	0.6 	0.8 	1.1 
ABR,PC_TOT,UK	20.3 	17.1 	19.3 	17 	17.3 	17.7 e	16.6 e	17.6 e	17.8 	19.8 e	18.7 	18.9 ep
ABR,PC_TOT,US	: d	: d	: d	: d	: d	: d	: d	3.7 d	3.8 d	3.8 d	: 	: 
BES,PC_TOT,AT	45.1 e	47.2 	45.6 e	48.4 	48.7 	46.1 e	47.1 	45.1 e	46.2 	45.5 e	48.7 	46.6 ep
BES,PC_TOT,BA	: 	: 	: 	: 	: 	: 	: 	: 	: 	17.1 	16.4 	: 
BES,PC_TOT,BE	60.3 	60.2 	59.7 	61 	61.4 	61 	58.7 	57.6 	60.2 	57 	56.9 	: 
BES,PC_TOT,BG	26.8 	28.2 	27.8 	30.6 	34.2 	30.6 	30.2 	16.7 	16.9 	20.8 	19.5 	: 
BES,PC_TOT,CH	: 	69.7 	: 	: 	: 	68.2 	: 	: 	: 	60.8 	: 	: 
BES,PC_TOT,CN_X_HK	60.1 	65.7 	67 	69.1 	70.4 	71.7 	71.7 b	71.7 	73.9 	74 	74.6 	: 
BES,PC_TOT,CY	19.9 	18.9 	16.8 	15.9 	16.4 	17.8 	15.7 	12.7 	11 	10.9 	12.1 	: 
BES,PC_TOT,CZ	51.4 	52.8 	48.2 	49.1 	47.2 	45 	39.8 	40.8 	37.7 	36.4 	37.6 	35.9 p
BES,PC_TOT,DE	66.3 	66.6 	67.6 	68.3 	68.1 	67.3 	66.1 	65.6 	65.6 	66.1 	65.4 	: 
BES,PC_TOT,DK	59.9 	: 	59.5 	: 	61 b	: 	62.1 	61.1 	61.2 	59.9 	57.9 	57.9 ep
BES,PC_TOT,EA19	55.6 e	55.7 e	56.2 	56.7 e	56.6 e	56.3 e	55.6 	55.5 e	56.8 	56.9 	56.7 	: 
BES,PC_TOT,EE	32.9 	36.5 	38.5 	38.1 	41.6 	39.8 	38.5 	43.6 	55 	51.3 	42.1 	37.1 
BES,PC_TOT,EL	28.2 	: 	31.1 	: 	: 	29.2 be	33.5 e	36.5 e	32.7 	31 	30.3 	29.8 
BES,PC_TOT,ES	48.4 	48 	46.3 	47.1 	45.5 	45 	43.4 	43 	44.3 	45.6 	46.3 	46.4 
BES,PC_TOT,EU28	53.9 e	54.2 e	54.1 	55 e	54.9 e	54.8 e	54.1 	53.8 e	55 	55 e	55 	: 
BES,PC_TOT,FI	70 	69.3 	66.9 	66.6 	68.2 	70.3 	68.1 	66.1 	67 	63.1 	60.8 	53.5 
BES,PC_TOT,FR	50.8 	50.7 b	51.9 	52.3 	52.3 	50.8 	52.3 	53.5 b	55 	55.3 	55 	: 
BES,PC_TOT,HR	42 	43 	34.3 	34.6 	35.5 	40.8 	39.8 	38.8 	38.2 	38.2 	42.8 	42.9 
BES,PC_TOT,HU	30.7 d	37.1 d	39.4 d	43.3 	43.9 	48.3 	46.4 	47.4 	47.5 	46.9 	46.8 	48.3 
BES,PC_TOT,IE	60.3 	58.6 	57.4 	53.4 	49.5 	48.8 	52.1 e	52.2 e	48.9 e	50.2 e	53.6 e	53.6 e
BES,PC_TOT,IS	43.9 	: 	48 	49.3 	50.4 	50.4 	47.8 	: 	49.8 b	: 	39.2 b	: 
BES,PC_TOT,IT	: 	: 	39.7 	40.4 	42 	45.9 	44.2 	44.7 	45.1 	44.3 	45.2 	: 
BES,PC_TOT,JP	74.6 	74.8 	76.1 	77.1 	77.7 	78.2 b	75.3 	75.9 	76.5 	76.1 	75.5 	: 
BES,PC_TOT,KR	74 d	75 d	75 d	75.4 d	73.7 b	72.9 	71.1 	71.8 	73.7 	74.7 	75.7 	: 
BES,PC_TOT,LT	16.7 	19.9 	20.8 	26.2 	32.8 	29.3 	30.8 	32.4 	28.2 	26.5 	27.5 	31.7 p
BES,PC_TOT,LU	80.4 	: 	79.7 	: 	76 	: 	70.3 	43.5 	45.3 	18.1 	16.5 	: 
BES,PC_TOT,LV	33.2 	46.3 	34.3 	52.7 	36.4 	27 	36.9 	38.8 	24.8 	23.7 	21.8 	27.8 p
BES,PC_TOT,ME	: 	: 	: 	: 	: 	: 	: 	: 	34 	: 	42.3 	28.5 
BES,PC_TOT,MT	: 	: 	46.8 	45.7 	51.9 	56.5 	51.6 	53.6 	51.5 	45.4 	44.6 	50 p
BES,PC_TOT,NL	47 	: 	46.3 	: 	48.8 	: 	45.1 	: 	51.1 b	51.6 	51.1 	51.5 p
BES,PC_TOT,NO	50.5 	: 	46.8 	: 	45 	: 	43.6 	: 	44.2 	: 	43.1 	: 
BES,PC_TOT,PL	30.3 	30.5 	33.4 	33.1 	34.3 	30.5 	27.1 	24.4 	28.1 	32.3 	37.3 	39 
BES,PC_TOT,PT	31.7 	34.2 e	36.3 	43 e	47 	48.1 b	43.9 	43.9 	44.7 	46 	42.3 	: 
BES,PC_TOT,RO	45.4 	44 	37.2 	30.4 	26.9 	23.3 	34.8 	32.3 	37.4 b	34.4 	31 	32.9 
BES,PC_TOT,RS	: 	: 	: 	: 	: 	: 	8.3 	8.6 	9.1 	5.8 	7.5 	8.2 
BES,PC_TOT,RU	30.8 	31.4 	30 	28.8 	29.4 	28.7 	26.6 	25.5 	27.7 	27.2 	28.2 	27.1 
BES,PC_TOT,SE	65.1 e	: 	63.9 b	: 	62.8 	: 	59.5 	: 	57.6 	: 	61 e	: 
BES,PC_TOT,SI	52.2 	58.5 	54.8 	59.3 	58.3 	62.8 b	58 	58.4 	61.2 b	62.2 	63.8 	68.4 
BES,PC_TOT,SK	45.1 	38.3 	36.6 	35 	35.6 	34.7 	35.1 	35.1 	33.9 	37.7 	40.2 	32.2 
BES,PC_TOT,TR	36.2 	37.9 	43.3 d	46 d	48.4 d	47.3 b	41 	45.1 	45.8 	46.8 	48.9 	50.9 
BES,PC_TOT,UK	42.2 	44.1 	42.1 	45.2 	46 	45.4 e	44.5 e	44 e	45.9 	45.6 e	46.2 	46.5 ep
BES,PC_TOT,US	63.3 bd	62.6 d	63.3 d	64.3 d	64.9 d	63.5 d	60.9 d	57.2 bd	58.6 d	59.1 dp	: 	: 
GOV,PC_TOT,AT	34.4 e	32.6 	35.9 e	32.3 	32.3 	37 de	34.9 	38.3 de	35.8 	38.3 de	33.6 	37.7 dep
GOV,PC_TOT,BA	: 	: 	: 	: 	: 	: 	: 	: 	: 	26.8 	25.9 	: 
GOV,PC_TOT,BE	23.5 	24.4 	24.7 	22.4 	22.2 	23.2 	25.3 	25.4 	23.4 	28.6 	28.5 	: 
GOV,PC_TOT,BG	66.9 	65.8 	63.9 	61.9 	56.7 	61.2 	60.5 	43.2 	38.8 	31.5 	31.6 	: 
GOV,PC_TOT,CH	: 	22.7 	: 	: 	: 	22.8 	: 	: 	: 	25.4 	: 	: 
GOV,PC_TOT,CN_X_HK	29.9 	26.6 	26.3 	24.7 	24.6 	23.6 	23.4 b	24 	21.7 	21.6 	21.1 	: 
GOV,PC_TOT,CY	60.1 	64.1 	67 	66.5 	64.6 	64.1 	69 	68.3 	70.6 	66.4 	62.1 	: 
GOV,PC_TOT,CZ	41.8 	41.9 	45.2 	44.9 	44.7 	44.8 	47.8 	44.4 	41.7 	36.8 	34.7 	32.9 p
GOV,PC_TOT,DE	31.2 	30.5 	28.4 	27.5 	27.5 	28.4 	29.8 	30.3 	29.8 	29.2 	29.1 	: 
GOV,PC_TOT,DK	27.1 	: 	27.6 	: 	25.9 bd	: 	26.1 	28.2 	28.2 	29.2 	30.4 	30.4 ep
GOV,PC_TOT,EA19	36.7 e	36.3 e	35.2 	34.3 e	34 e	34.6 e	35.5 	35.3 e	33.7 	33.5 	33.3 	: 
GOV,PC_TOT,EE	48.6 	44.1 	43.5 	44.6 	45.6 	50 	48.8 	44.1 	32.8 	38.3 	47.2 	49.5 
GOV,PC_TOT,EL	46.4 	: 	46.8 	: 	: 	62.2 be	54.7 e	48.3 e	49.2 	50.4 	52.3 	53.3 
GOV,PC_TOT,ES	40.1 	41 	43 	42.5 	43.7 	45.6 	47.1 	46.6 	44.5 	43.1 	41.6 	41.4 
