sectfund,unit,geo\time	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 
GOV,PC_TOT,EU28	35.3 e	35.2 e	34.4 	33.6 e	33.3 e	33.8 e	34.9 	34.8 e	33.3 	32.9 e	32.7 	: 
GOV,PC_TOT,FI	25.7 	26.3 	25.7 	25.1 	24.1 	21.8 	24 	25.7 	25 b	26.7 	26 	27.5 
GOV,PC_TOT,FR	39 	38.7 b	38.6 	38.5 	38.1 	38.9 	38.7 	37.1 b	35.1 	35.4 	35.2 	: 
GOV,PC_TOT,HR	55.9 	46.6 	58.1 	55.8 	50.4 	49.3 	51.2 	49.2 	48.2 	45.5 	39.7 	41.7 
GOV,PC_TOT,HU	58 d	51.8 bd	49.4 d	44.8 	44.4 	41.8 	42 	39.3 	38.1 	36.9 	35.9 	33.5 
GOV,PC_TOT,IE	29.8 	31.1 	32 	31.9 	32.4 	33.7 	29.8 e	29.4 e	29.4 e	27.5 e	25.9 e	25.9 e
GOV,PC_TOT,IS	40.1 	: 	40.5 	39.6 	38.8 	38.8 	40.2 	: 	40 b	: 	35 b	: 
GOV,PC_TOT,IT	: 	: 	50.7 	47 	44.3 	42 	42.1 	41.6 	41.9 	42.5 	41.4 	: 
GOV,PC_TOT,JP	18 d	18.1 d	16.8 d	16.2 d	15.6 d	15.6 bd	17.7 d	17.2 d	16.4 d	16.8 d	17.3 d	: 
GOV,PC_TOT,KR	23.9 d	23.1 d	23 d	23.1 d	24.8 b	25.4 	27.4 	26.7 	24.9 	23.8 	22.8 	: 
GOV,PC_TOT,LT	64.6 	63.1 	62.7 	53.6 	46.9 	54.6 	52.7 	46 	42.2 	39.7 	34.5 	33.7 p
GOV,PC_TOT,LU	11.2 	: 	16.6 	: 	18.2 	: 	24.3 	35.1 	33.5 	45.1 	48.4 	: 
GOV,PC_TOT,LV	46.4 	31.2 	46 	38.2 	49.9 	47.3 	44.7 	26.4 	22.5 	23.9 	23.9 	25.6 p
GOV,PC_TOT,ME	: 	: 	: 	: 	: 	: 	: 	: 	46.3 	: 	31.7 	46.6 
GOV,PC_TOT,MT	: 	: 	25.9 	26.8 	25.7 	27.4 	30 	33.3 	28.4 	32 	32.5 	27.2 p
GOV,PC_TOT,NL	40.3 	: 	38.8 	: 	38 	: 	40.9 	: 	33.9 b	32.4 	33.3 	32.7 p
GOV,PC_TOT,NO	40.6 	: 	43.6 	: 	44.9 	: 	46.8 	: 	46.5 	: 	45.8 	: 
GOV,PC_TOT,PL	62.7 	61.7 	57.7 	57.5 	58.6 	59.8 	60.4 	60.9 	55.8 	51.3 	47.2 	45.2 
GOV,PC_TOT,PT	60.1 	57.5 e	55.2 	48.6 e	44.6 	43.7 b	45.5 	45.1 	41.8 	43.1 	46.4 	: 
GOV,PC_TOT,RO	47.6 	49 	53.5 	64.1 	67.1 	70.1 	54.9 	54.4 	49.1 b	49.9 	52.3 	48.5 
GOV,PC_TOT,RS	: 	: 	: 	: 	: 	: 	62.9 	59.4 	63.4 	51.3 	59.5 	53.5 
GOV,PC_TOT,RU	59.6 	60.6 	61.9 	61.1 	62.6 	64.7 	66.5 	70.3 	67.1 	67.8 	67.6 	69.2 
GOV,PC_TOT,SE	24.3 e	: 	24.4 b	: 	24.6 	: 	27 	: 	27.5 	: 	28.3 e	: 
GOV,PC_TOT,SI	37.5 	30 	37.2 	34.4 	35.6 	31.3 b	35.7 	35.3 	31.5 b	28.7 	26.9 	21.8 
GOV,PC_TOT,SK	50.8 e	57.1 e	57 e	55.6 e	53.9 e	52.3 e	50.6 e	49.6 e	49.8 e	41.6 e	38.9 e	41.4 e
GOV,PC_TOT,TR	57 	57 	50.1 d	48.6 d	47.1 d	31.6 b	34 	30.8 	29.2 	28.2 	26.6 	26.3 
GOV,PC_TOT,UK	31.7 	32.9 	32.7 	31.9 	30.9 	30.7 	32.6 	32.3 	30.5 	28.7 e	29.1 	28.8 ep
GOV,PC_TOT,US	30.7 bd	31.6 d	30.8 d	29.9 d	29.2 d	30.4 d	32.6 d	32.6 d	31.2 d	30.8 dp	: 	: 
HES,PC_TOT,AT	: 	0.4 	: 	0.5 	0.6 	: d	0.7 	: d	0.7 	: d	0.6 	: d
HES,PC_TOT,BA	: 	: 	: 	: 	: 	: 	: 	: 	: 	7.4 	3.7 	: 
HES,PC_TOT,BE	2.7 	2.6 	2.6 	2.5 	2.8 	2.9 	3.2 	3.1 	2.9 	1 	1 	: 
HES,PC_TOT,BG	0.4 	0.3 	0.4 	0.7 	1 	0.4 	0.7 	0.5 	0.2 	0.2 	0.1 	: 
HES,PC_TOT,CH	: 	1.5 	: 	: 	: 	2.3 	: 	: 	: 	1.2 	: 	: 
HES,PC_TOT,CY	3.8 	3.9 	4.2 	4.1 	2.8 	2.7 	2.8 	3.5 	3.9 	4.6 	5.6 	: 
HES,PC_TOT,CZ	1.2 	1.5 	1.2 	1.2 	0.8 	1.3 	1.2 	0.9 	0.9 	0.9 	0.5 	0.6 p
HES,PC_TOT,DK	: d	: 	: d	: 	: d	: 	: d	: d	: d	: d	: d	: d
HES,PC_TOT,EA19	0.7 e	0.7 e	0.7 e	0.9 e	0.9 e	0.9 e	0.9 e	0.9 e	0.9 e	0.7 e	0.8 e	: 
HES,PC_TOT,EE	2.9 	1.7 	0.8 	0.9 	0.9 	0.5 	0.7 	0.6 	0.3 	0.3 	0.3 	0.9 
HES,PC_TOT,EL	2.6 	: 	1.7 	: 	: 	2 be	2.1 e	2.3 e	2.3 	2 	2.6 	2.8 
HES,PC_TOT,ES	5.4 	4.1 	4.1 	3.9 	3.3 	3.2 	3.5 	3.9 	4 	3.9 	4.1 	4.1 
HES,PC_TOT,EU28	0.7 e	0.7 e	0.8 e	1 e	0.9 e	1 e	1 e	0.9 e	0.9 e	0.8 e	0.8 e	: 
HES,PC_TOT,FI	0.2 	0.2 	0.2 	0.3 	0.3 	0.2 	0.1 	0.2 	0.1 	0.2 	0.2 	0.2 
HES,PC_TOT,FR	0.9 	0.9 b	1 	1.3 	1.3 	1.2 	1.2 	1 b	1.3 	0.9 	1 	: 
HES,PC_TOT,HR	: 	7.9 	4.9 	2.5 	3 	1.9 	1.9 	2 	1.7 	1.7 	1.7 	2.1 
HES,PC_TOT,IE	1.6 	1.7 	1.7 	0.3 	1.7 	1.4 	1.1 e	0.9 e	0.7 e	0.7 e	0.6 e	0.6 e
HES,PC_TOT,IS	0 	: 	0 	0 	0 	0 	0 	: 	1.4 b	: 	5.7 b	: 
HES,PC_TOT,IT	: 	: 	0.1 	1.4 	1.3 	1.3 	1.3 	0.9 	0.9 	0.9 	1 	: 
HES,PC_TOT,JP	6.3 d	6.1 d	6.1 d	5.7 d	5.6 d	5.1 bd	5.9 d	5.7 d	5.8 d	5.8 d	5.9 d	: 
HES,PC_TOT,KR	1.3 d	1 d	0.9 d	0.8 d	1 b	1 	0.9 	0.9 	0.7 	0.6 	0.7 	: 
HES,PC_TOT,LT	4.8 	6 	5.7 	5.3 	0.2 	0.3 	3.2 	1.5 	1 	0.5 	0.1 	0.2 p
HES,PC_TOT,LU	0 	: 	0 	: 	0 e	: 	0 	0.6 	0.5 	0.9 	1.7 	: 
HES,PC_TOT,LV	: 	: 	1.2 	1.5 	0.9 	2.5 	3 	1.4 	1.6 	2 	2.7 	2.3 p
HES,PC_TOT,ME	: 	: 	: 	: 	: 	: 	: 	: 	0 	: 	3.5 	4.2 
HES,PC_TOT,MT	: 	: 	0.4 	0 	0 	0 	0 	1.2 	2.1 	1.3 	1.3 	1.1 p
HES,PC_TOT,NL	0.2 	: 	0.3 	: 	0.2 	: 	0.3 	: 	0.3 b	0.4 	0.3 	0.2 p
HES,PC_TOT,NO	0.6 	: 	0.7 	: 	0.6 	: 	0.4 	: 	0.4 	: 	0.5 	: 
HES,PC_TOT,PL	2.1 	2.4 	2.9 	2.2 	0.2 	4.1 	6.7 	2.5 	2.4 	2.6 	2.1 	2.2 
HES,PC_TOT,PT	1.3 	1.1 e	1 	0.8 e	0.7 	3.6 b	2.8 	3.2 	5.4 	3.6 	3.9 	: 
HES,PC_TOT,RO	1.5 	1.5 	4 	1.2 	1.4 	2.6 	1.9 	2.2 	1.2 b	1 	1.1 	1.4 
HES,PC_TOT,RS	: 	: 	: 	: 	: 	: 	20.9 	28.4 	21.8 	33.7 	25.1 	25.9 
HES,PC_TOT,RU	0.5 	0.4 	0.4 	0.6 	0.6 	0.5 	0.4 	0.5 	0.8 	0.8 	1 	1.1 
HES,PC_TOT,SE	0.1 e	: 	0.7 b	: 	0.8 	: 	0.6 	: 	0.9 	: 	1 e	: 
HES,PC_TOT,SI	0.4 	0.3 	0.7 	0.3 	0.4 	0.3 b	0.3 	0.3 	0.2 b	0.4 	0.3 	0.5 
HES,PC_TOT,SK	0.3 	0.3 	0.3 	0.3 	0.2 	0.3 	0.6 	0.4 	1.8 	1.7 	2.7 	2.2 
HES,PC_TOT,TR	: d	: d	: d	0 d	0 d	16.2 b	20.3 	19.6 	20.8 	21.1 	20.4 	18.4 
HES,PC_TOT,UK	1.1 	1.1 	1.2 	1.3 	1.2 	1.2 e	1.3 e	1.2 e	1.2 	1.1 e	1.3 	1.3 ep
HES,PC_TOT,US	2.8 bd	2.8 d	2.8 d	2.9 d	2.8 d	2.9 d	2.9 d	3 d	3 d	3 dp	: 	: 
PNP,PC_TOT,AT	0.4 e	0.5 	0.4 e	0.4 	0.5 	0.4 e	0.6 	0.5 e	0.5 	0.4 e	0.5 	0.4 ep
PNP,PC_TOT,BA	: 	: 	: 	: 	: 	: 	: 	: 	: 	0.1 	0 	: 
PNP,PC_TOT,BE	0.5 	0.5 	0.6 	0.7 	0.7 	0.6 	0.7 	0.6 	0.6 	0.4 	0.4 	: 
PNP,PC_TOT,BG	0.2 	0.2 	0.3 	0.4 	0.5 	0.9 	0.2 	0.1 	0.2 	1.3 	0.5 	: 
PNP,PC_TOT,CH	: 	0.8 	: 	: 	: 	0.7 	: 	: 	: 	0.6 	: 	: 
PNP,PC_TOT,CY	2.3 	1.6 	1.2 	1.3 	1.7 	0.7 	0.5 	0.5 	0.5 	0.7 	0.6 	: 
PNP,PC_TOT,CZ	1 	0.1 	0 	0 	0 	0 	0 	0 	0 	0 	0.1 	0.1 p
PNP,PC_TOT,DE	0.3 	0.4 	0.3 	0.4 	0.4 	0.3 	0.3 	0.2 	0.3 	0.4 	0.3 	: 
PNP,PC_TOT,DK	2.7 	: 	2.8 	: 	3.5 b	: 	3.1 	3.5 	3.6 	3.8 	4.3 	4.3 ep
PNP,PC_TOT,EA19	0.7 e	0.8 e	0.8 e	1 e	1 e	1 e	1 e	1 e	1 e	1 e	0.9 e	: 
PNP,PC_TOT,EE	0.4 	0.6 	0.2 	0.1 	0.2 	0.3 	0.7 	0.2 	0.1 	0.1 	0.1 	0.1 
PNP,PC_TOT,EL	1.2 	: 	1.5 	: 	: 	0.9 be	0.9 e	1 e	1 	0.9 	0.9 	0.9 
PNP,PC_TOT,ES	0.5 	0.7 	0.9 	0.6 	0.5 	0.6 	0.6 	0.7 	0.6 	0.6 	0.6 	0.7 
PNP,PC_TOT,EU28	1.5 e	1.6 e	1.6 e	1.7 e	1.7 e	1.6 e	1.6 e	1.6 e	1.6 e	1.6 e	1.6 e	: 
PNP,PC_TOT,FI	0.9 	1 	1 	1 	1 	1 	1.1 	1.1 	1.3 	1.3 	1.4 	1.4 
PNP,PC_TOT,FR	0.9 	0.9 b	0.9 	0.8 	0.8 	1.1 	0.8 	0.8 b	0.8 	0.8 	0.8 	: 
PNP,PC_TOT,HR	: 	: 	0 	0.2 	0.2 	0.2 	0.1 	0.2 	0.2 	0.3 	0.3 	0.5 
PNP,PC_TOT,HU	0.4 d	0.6 d	0.3 d	0.6 	0.6 	0.6 	0.7 	0.9 	1 	0.9 	0.8 	0.7 
PNP,PC_TOT,IE	0 	0 	0.2 	1.5 	0.6 	0.5 	0.5 e	0.5 e	0.6 e	0.6 e	0.6 e	0.6 e
PNP,PC_TOT,IS	1.5 	: 	0.3 	0.6 	0.8 	0.8 	0.6 	: 	0.6 b	: 	0.1 b	: 
PNP,PC_TOT,IT	: 	: 	1.6 	2.9 	2.9 	2.8 	3 	3.1 	3.1 	2.8 	2.7 	: 
PNP,PC_TOT,JP	0.8 	0.7 	0.7 	0.7 	0.7 	0.7 b	0.7 	0.8 	0.8 	0.8 	0.8 	: 
PNP,PC_TOT,KR	0.4 d	0.4 d	0.4 d	0.3 d	0.3 b	0.4 	0.4 	0.4 	0.4 	0.5 	0.5 	: 
PNP,PC_TOT,LT	0.1 	0.3 	0.2 	0.6 	0.5 	0.3 	0.3 	0.2 	0.2 	0.2 	0.7 	0.2 p
PNP,PC_TOT,LU	0.1 	: 	0.1 	: 	0.1 	: 	0.1 	0.1 	1.2 	1.4 	1 	: 
PNP,PC_TOT,ME	: 	: 	: 	: 	: 	: 	: 	: 	0 	: 	0 	0 
PNP,PC_TOT,MT	: 	: 	0.1 	0 	0 	0.1 	0.1 	0.1 	0.3 	0.3 	0.2 	0.2 p
PNP,PC_TOT,NL	2.1 	: 	2.6 	: 	2.3 	: 	2.8 	: 	3.3 b	3.1 	3.1 	3.1 p
PNP,PC_TOT,NO	0.8 	: 	0.9 	: 	1 	: 	1 	: 	1.1 	: 	1 	: 
PNP,PC_TOT,PL	0.3 	0.3 	0.3 	0.3 	0.2 	0.2 	0.3 	0.3 	0.2 	0.4 	0.2 	0.2 
PNP,PC_TOT,PT	1.9 	2.4 e	2.8 	2.5 e	2.3 	1.7 b	3.7 	4.6 	2.1 	2.1 	1.3 	: 
PNP,PC_TOT,RO	0 	0 	0 	0.2 	0 	0 	0.1 	0 	0.2 b	0.2 	0 	0.1 
PNP,PC_TOT,RS	: 	: 	: 	: 	: 	: 	0.8 	0 	0.1 	0.1 	0 	0 
PNP,PC_TOT,RU	0.2 	0.1 	0 	0.1 	0.1 	0.2 	0.1 	0.1 	0.2 	0.1 	0.1 	0.2 
PNP,PC_TOT,SE	3.2 e	: 	2.9 b	: 	2.2 	: 	2.6 	: 	3 	: 	3.1 e	: 
PNP,PC_TOT,SI	0.1 	0.1 	0 	0.2 	0 	0 b	0 	0.1 	0 b	0.1 	0 	0 
PNP,PC_TOT,SK	0.4 	0 	0 	0.1 	0.1 	0.4 	1 	0.3 	0.4 	0.3 	0.2 	0.5 
PNP,PC_TOT,TR	5.2 d	4.8 d	5.8 d	4.8 d	4 d	3.6 b	3.7 	3.7 	3.4 	3.4 	3.3 	3.4 
PNP,PC_TOT,UK	4.7 	4.7 	4.7 	4.6 	4.6 	4.9 e	5 e	4.8 e	4.8 	4.7 e	4.7 	4.6 ep
PNP,PC_TOT,US	3.1 bd	3 d	3.1 d	3 d	3.1 d	3.2 d	3.5 d	3.5 d	3.4 d	3.3 dp	: 	: 
